sole,sole,s,SenseObject,0
Pretense,pretense,c,SubjectivePercept,0
",",",",n,,0
He,he,s,PersonPronoun,0
Will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
instruct,instruct,s,ReportingEvents,0
least,least,s,Comparison,0
it,it,s,Insist,0
should,should,s,Insist,1
give,give,s,Negativity,0
Offense,offense,c,Negativity,1
.,.,n,Future_Question,0
Should,should,s,Future_Question,1
he,he,s,Future_Question,2
by,by,s,Contingency,0
chance,chance,s,Contingency,1
a,a,s,Negativity,0
Knave,knave,s,Negativity,1
or,or,s,,0
Fool,fool,s,Negativity,0
expose,expose,c,Disclosure,0
",",",",n,,0
That,that,s,,0
hurts,hurts,s,Negativity,0
none,none,s,DenyDisclaim,0
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
sure,sure,s,Confidence,0
here,here,s,SpaceRelation,0
are,are,s,Resistance,0
none,none,s,Resistance,1
of,of,s,Resistance,2
those,those,c,,0
.,.,n,,0
In,in,s,Metadiscourse,0
short,short,c,Metadiscourse,1
",",",",s,Metadiscourse,2
our,our,s,Inclusive,0
Play,play,c,ReportingEvents,0
",",",",s,,0
shall,shall,s,ProjectAhead,0
(,(,c,,0
with,with,s,DirectAddress,0
your,your,s,DirectAddress,1
leave,leave,s,SceneShift,0
to,to,s,SceneShift,1
show,show,s,ReportingEvents,0
it,it,c,,0
),),n,,0
Give,give,s,DirectAddress,0
you,you,s,DirectAddress,1
one,one,s,Numbers,0
Instance,instance,s,Example,0
of,of,s,Example,1
a,a,s,,0
Passive,passive,s,Negativity,0
Poet,poet,c,LangRef,0
.,.,n,LangRef,1
Who,who,s,Curiosity,0
to,to,s,Curiosity,1
your,your,s,DirectAddress,0
Judgments,judgments,s,PrivateThinking,0
yields,yields,s,ReportingEvents,0
all,all,s,,0
Resignation,resignation,c,Transformation,0
;,;,n,,0
So,so,s,,0
Save,save,s,StandardsPos,0
or,or,s,,0
Damn,damn,c,Anger,0
",",",",s,,0
after,after,s,Sequence,0
your,your,s,DirectAddress,0
own,own,s,DirectAddress,1
Discretion,discretion,c,DirectAddress,2
.,.,nn,,0
YOU,you,s,DirectAddress,0
are,are,s,DirectAddress,1
a,a,s,DirectAddress,2
fortunate,fortunate,s,Positivity,0
Man,man,c,PersonProperty,0
",",",",s,,0
Mr,mr,c,PersonProperty,0
.,.,s,PersonProperty,1
Fainall,fainall,c,UNRECOGNIZED,0
.,.,nn,Question,0
Have,have,s,Question,1
we,we,s,Question,2
done,done,c,ReportingStates,0
?,?,nn,Question,0
What,what,s,SubjectivePercept,0
you,you,s,SubjectivePercept,1
please,please,c,SubjectivePercept,2
.,.,s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
