due,due,c,AbstractConcepts,0
.,.,nn,,0
King,king,s,PersonProperty,0
of,of,s,,0
Cilicia,cilicia,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,FirstPer,0
and,and,s,,0
Lydia,lydia,s,UNRECOGNIZED,0
now,now,c,Updates,0
",",",",n,Updates,1
Bate,bate,s,Motions,0
us,us,s,Inclusive,0
not,not,s,DenyDisclaim,0
our,our,s,Inclusive,0
Titles,titles,c,LangRef,0
",",",",s,,0
we,we,s,,0
and,and,s,,0
ours,ours,n,Inclusive,0
Have,have,s,,0
sweat,sweat,s,SenseObject,0
and,and,s,,0
dearly,dearly,s,Intensity,0
earned,earned,s,StandardsPos,0
them,them,s,,0
in,in,s,Inclusive,0
our,our,s,Inclusive,1
flesh,flesh,c,SenseObject,0
.,.,nn,,0
It,it,s,,0
savors,savors,s,Positivity,0
not,not,s,DenyDisclaim,0
of,of,s,,0
nobleness,nobleness,s,StandardsPos,0
nor,nor,s,DenyDisclaim,0
virtue,virtue,c,StandardsPos,0
",",",",n,,0
Religion,religion,c,AbstractConcepts,0
",",",",s,,0
loyalty,loyalty,c,StandardsPos,0
",",",",s,,0
heaven,heaven,s,Positivity,0
or,or,s,,0
natures,natures,s,AbstractConcepts,0
laws,laws,n,AbstractConcepts,0
So,so,s,,0
most,most,s,Comparison,0
perfidiously,perfidiously,s,StandardsNeg,0
to,to,s,,0
enter,enter,c,ReportingEvents,0
",",",",s,,0
Tyrant,tyrant,c,Negative_Relation,0
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
was,was,c,ProjectBack,0
",",",",s,,0
expected,expected,s,ProjectAhead,0
honesty,honesty,s,StandardsPos,0
and,and,s,,0
honor,honor,c,StandardsPos,0
",",",",n,,0
Assistance,assistance,s,StandardsPos,0
from,from,s,,0
a,a,s,Positivity,0
friend,friend,c,Positivity,1
",",",",s,,0
not,not,s,DenyDisclaim,0
a,a,s,DenyDisclaim,1
dissembler,dissembler,c,Negativity,0
",",",",n,,0
A,a,s,,0
Royal,royal,s,CommonAuthorities,0
neighbor,neighbor,s,PersonProperty,0
and,and,s,,0
no,no,s,DenyDisclaim,0
politic,politic,s,StandardsPos,0
foe,foe,c,Negative_Relation,0
.,.,n,Question,0
What,what,s,Question,1
worse,worse,s,Negativity,0
than,than,s,Negativity,1
this,this,s,Contingency,0
could,could,s,Contingency,1
the,the,s,Negative_Relation,0
enemy,enemy,s,Negative_Relation,1
perform,perform,c,ReportingEvents,0
?,?,n,Question,0
And,and,s,,0
when,when,s,,0
shines,shines,s,SenseProperty,0
friendship,friendship,s,Positivity,0
best,best,s,Comparison,0
but,but,s,Resistance,0
in,in,s,,0
a,a,s,,0
storm,storm,c,SenseObject,0
?,?,nn,Question,0
Why,why,c,Question,0
",",",",s,,0
doting,doting,s,Positivity,0
Lydia,lydia,c,UNRECOGNIZED,0
",",",",s,,0
is,is,s,Question,0
it,it,s,Question,1
of,of,s,,0
no,no,s,DenyDisclaim,0
virtue,virtue,n,StandardsPos,0
To,to,s,,0
bring,bring,s,,0
our,our,s,Inclusive,0
Army,army,s,CommonAuthorities,0
hither,hither,s,SpaceRelation,0
and,and,s,,0
put,put,s,Motions,0
in,in,s,Motions,1
venture,venture,n,Contingency,0
Our,our,s,Contingency,1
person,person,s,PersonProperty,0
and,and,s,,0
their,their,s,Biographical_Time,0
lives,lives,s,Biographical_Time,1
upon,upon,s,,0
our,our,s,Inclusive,0
foes,foes,c,Negative_Relation,0
?,?,n,Question,0
Wasting,wasting,s,StandardsNeg,0
our,our,s,StandardsPos,0
courage,courage,c,StandardsPos,1
",",",",s,,0
weakening,weakening,s,Negativity,0
our,our,s,StandardsPos,0
best,best,s,StandardsPos,1
forces,forces,c,,0
;,;,n,,0
Impoverishing,impoverishing,s,StandardsNeg,0
the,the,s,SenseObject,0
heart,heart,s,SenseObject,1
of,of,s,Inclusive,0
our,our,s,Inclusive,1
munition,munition,c,SenseObject,0
",",",",n,,0
And,and,s,,0
having,having,s,ReportingEvents,0
won,won,s,StandardsPos,0
the,the,s,StandardsPos,1
honor,honor,s,StandardsPos,0
of,of,s,,0
the,the,s,Resistance,0
battle,battle,n,Resistance,1
To,to,s,,0
throw,throw,s,Motions,0
our,our,s,StandardsPos,0
glory,glory,s,StandardsPos,1
on,on,s,,0
unworthy,unworthy,s,StandardsNeg,0
spirits,spirits,c,SubjectivePercept,0
",",",",n,ReasonForward,0
And,and,s,ReasonForward,1
so,so,s,ReasonForward,2
unload,unload,s,ReportingEvents,0
victories,victories,s,Positivity,0
honey,honey,s,SenseObject,0
thighs,thighs,n,SenseObject,0
To,to,s,ProjectAhead,0
let,let,s,ProjectAhead,1
Droanes,droanes,s,UNRECOGNIZED,0
seed,seed,c,SenseObject,0
?,?,nn,Question,0
Will,will,s,PredictedFuture,0
nothing,nothing,s,DenyDisclaim,0
satisfy,satisfy,s,StandardsPos,0
but,but,s,Resistance,0
all,all,c,,0
?,?,nn,Question,0
Without,without,s,Contingency,0
all,all,c,,0
",",",",s,,0
nothing,nothing,c,DenyDisclaim,0
.,.,n,,0
The,the,s,,0
Kingdom,kingdom,s,CommonAuthorities,0
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
under,under,s,,0
suites,suites,s,SenseObject,0
our,our,s,Inclusive,0
blood,blood,c,SenseObject,0
",",",",n,,0
Flies,flies,s,Motions,0
ate,ate,s,ReportingEvents,0
are,are,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
Eagles,eagles,s,SenseObject,0
preyes,preyes,s,UNRECOGNIZED,0
nor,nor,s,DenyDisclaim,0
thanks,thanks,s,Acknowledge,0
our,our,s,Inclusive,0
food,food,c,SenseObject,0
:,:,n,,0
And,and,s,,0
for,for,s,,0
Cilicia,cilicia,s,UNRECOGNIZED,0
our,our,s,Inclusive,0
other,other,s,Specifiers,0
sphere,sphere,c,SenseObject,0
",",",",n,,0
Our,our,s,Inclusive,0
son,son,s,PersonProperty,0
Zenarchus,zenarchus,s,UNRECOGNIZED,0
let,let,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
beams,beams,s,SenseObject,0
move,move,s,SceneShift,0
there,there,c,SceneShift,1
.,.,nn,,0
Rather,rather,c,Resistance,0
",",",",s,Resistance,1
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
move,move,s,Motions,0
