don't,don't,s,DenyDisclaim,0
remember,remember,s,ProjectBack,0
I,i,s,FirstPer,0
left,left,s,SceneShift,0
such,such,s,Intensity,0
faces,faces,s,SpaceRelation,0
in,in,s,SpaceRelation,1
the,the,s,SpaceRelation,2
Court,court,nnn,Positivity,0
The,the,s,Positivity,1
first,first,s,Sequence,0
of,of,s,Sequence,1
them,them,s,,0
stalks,stalks,s,Motions,0
in,in,s,,0
a,a,s,,0
knighthood,knighthood,c,CommonAuthorities,0
",",",",s,,0
like,like,s,Resemblances,0
A,a,s,Resemblances,1
Boy,boy,s,PersonProperty,0
in,in,s,,0
a,a,s,,0
Dutch,dutch,s,,0
Burgers,burgers,n,SenseObject,0
doublet,doublet,c,LangRef,0
;,;,s,,0
and,and,s,ReportingStates,0
it,it,s,ReportingStates,1
is,is,s,ReportingStates,2
as,as,s,Comparison,0
much,much,s,Comparison,1
too,too,s,,0
wide,wide,s,SenseProperty,0
for,for,s,SubjectivePercept,0
him,him,c,SubjectivePercept,1
;,;,s,,0
a,a,c,,0
',',s,,0
his,his,s,PersonPronoun,0
traveled,traveled,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
speaks,speaks,n,,0
Languages,languages,c,AbstractConcepts,0
",",",",s,,0
as,as,s,,0
a,a,s,,0
Barbers,barbers,s,PersonProperty,0
Boy,boy,s,PersonProperty,0
plays,plays,s,ReportingEvents,0
oth,oth,c,UNRECOGNIZED,0
',',s,,0
Gitterne,gitterne,c,UNRECOGNIZED,0
;,;,s,,0
And,and,s,,0
those,those,s,,0
gay,gay,s,PersonProperty,0
Clouts,clouts,s,Motions,0
Sir,sir,s,PersonProperty,0
came,came,n,ReportingEvents,0
out,out,s,ReportingEvents,1
on's,on's,s,UNRECOGNIZED,0
Fathers,fathers,s,PersonProperty,0
Shop,shop,nnn,SenseObject,0
His,his,s,PersonPronoun,0
Remnants,remnants,c,ProjectBack,0
:,:,s,,0
the,the,s,Specifiers,0
Other,other,c,Specifiers,1
:,:,s,,0
that,that,s,,0
looks,looks,s,Resemblances,0
like,like,s,Resemblances,1
the,the,s,,0
Age,age,s,Specifiers,0
