GEntles,gentles,s,SenseProperty,0
God,god,s,AbstractConcepts,1
and,and,s,,0
my,my,s,FirstPer,0
neighbors,neighbors,c,PersonProperty,0
.,.,nnn,Sequence,0
Then,then,s,Sequence,1
either,either,s,Metadiscourse,0
for,for,s,,0
Gods,gods,s,CommonAuthorities,0
sake,sake,s,SenseObject,0
or,or,s,,0
thy,thy,s,DirectAddress,0
Neighbors,neighbors,c,PersonProperty,0
",",",",s,,0
or,or,s,,0
both,both,c,,0
",",",",s,,0
be,be,s,ReportingStates,0
smothe,smothe,c,UNRECOGNIZED,0
",",",",s,,0
and,and,n,,0
participate,participate,c,Inclusive,0
",",",",s,,0
is,is,s,Question,0
it,it,s,Question,1
not,not,s,DenyDisclaim,0
some,some,s,DenyDisclaim,1
vnderlayer,vnderlayer,c,UNRECOGNIZED,0
",",",",s,,0
some,some,s,Uncertainty,0
she,she,s,PersonPronoun,0
Cammell,cammell,s,UNRECOGNIZED,0
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
bear,bear,s,SenseObject,0
as,as,s,Comparison,0
much,much,n,Comparison,1
of,of,s,,0
her,her,s,PersonPronoun,0
belly,belly,c,SenseObject,0
",",",",s,,0
as,as,s,,0
three,three,s,Numbers,0
beasts,beasts,s,Negativity,0
on,on,s,,0
their,their,s,PersonPronoun,0
backs,backs,c,AbstractConcepts,0
?,?,s,Question,0
some,some,s,Uncertainty,0
Lanthorne-maker,lanthorne-maker,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
hold,hold,n,PredictedFuture,1
thy,thy,s,DirectAddress,0
head,head,c,SenseObject,0
:,:,s,,0
come,come,c,DirectAddress,0
",",",",s,DirectAddress,1
up,up,s,,0
with,with,s,AbstractConcepts,0
it,it,nnn,AbstractConcepts,1
Prithee,prithee,s,DirectAddress,0
I,i,s,FirstPer,0
hate,hate,s,Negativity,0
none,none,c,DenyDisclaim,0
",",",",s,Resistance,0
but,but,s,Resistance,1
heaven,heaven,s,Positivity,0
hate,hate,s,Negativity,0
me,me,s,Negativity,1
if,if,s,Contingency,0
I,i,s,FirstPer,0
be,be,s,ReportingStates,0
in,in,s,ReportingStates,1
love,love,s,Positivity,0
with,with,s,,0
any,any,c,Intensity,0
.,.,nnn,Intensity,1
Off,off,s,Negativity,0
with,with,s,Negativity,1
these,these,s,Immediacy,0
clogs,clogs,c,SenseObject,0
",",",",s,,0
then,then,s,Sequence,0
break,break,s,Sequence,1
prison,prison,c,Negativity,0
",",",",s,,0
and,and,s,,0
get,get,s,Transformation,0
out,out,s,Transformation,1
of,of,s,Transformation,2
this,this,s,,0
melancholy,melancholy,n,Sad,0
Jail,jail,c,SenseObject,0
",",",",s,,0
hark,hark,s,Immediacy,0
how,how,s,,0
the,the,s,CommonAuthorities,0
general,general,s,CommonAuthorities,1
noise,noise,s,SenseProperty,0
does,does,s,ReportingEvents,0
welcome,welcome,s,Positivity,0
from,from,s,,0
the,the,s,,0
Parthian,parthian,s,UNRECOGNIZED,0
wars,wars,c,GenericEvents,0
",",",",s,,0
each,each,n,Specifiers,0
spirit's,spirit's,s,UNRECOGNIZED,0
iocund,iocund,c,UNRECOGNIZED,0
",",",",s,,0
fraught,fraught,s,Negativity,0
with,with,s,Negativity,1
glee,glee,c,Positivity,0
",",",",s,,0
then,then,s,,0
wrong,wrong,s,StandardsNeg,0
not,not,s,DenyDisclaim,0
thine,thine,s,UNRECOGNIZED,0
with,with,s,Specifiers,0
this,this,s,Specifiers,1
dull,dull,n,SenseProperty,0
meditation,meditation,nnn,PrivateThinking,0
Oh,oh,c,OralCues,0
!,!,s,,0
how,how,s,Question,0
do,do,s,Question,1
they,they,s,Question,2
then,then,s,,0
wrong,wrong,s,StandardsNeg,0
my,my,s,FirstPer,0
meditation,meditation,c,PrivateThinking,0
?,?,s,Question,0
my,my,s,SelfDisclosure,0
thoughts,thoughts,s,SelfDisclosure,1
are,are,s,ReportingStates,0
with,with,s,,0
themselves,themselves,s,PersonPronoun,0
at,at,n,SpaceRelation,0
a,a,s,SpaceRelation,1
counsel,counsel,c,PersonProperty,0
",",",",s,,0
til,til,s,SenseObject,0
with,with,s,,0
noise,noise,s,SenseProperty,0
and,and,s,,0
thou,thou,s,DirectAddress,0
with,with,s,,0
continual,continual,s,RecurringEvents,0
talk,talk,c,ReportingEvents,0
",",",",s,,0
have,have,s,,0
driven,driven,s,Narrative_Verbs,0
them,them,s,Narrative_Verbs,1
to,to,n,,0
a,a,s,,0
nonplus,nonplus,nnn,Negativity,0
Then,then,s,Sequence,0
make,make,s,Sequence,1
me,me,s,FirstPer,0
of,of,s,,0
thy,thy,s,DirectAddress,0
counsel,counsel,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
take,take,s,ReportingEvents,0
my,my,s,FirstPer,0
advice,advice,c,GenericEvents,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
i,i,s,ReasonForward,2
will,will,s,PredictedFuture,0
take,take,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
denial,denial,c,DenyDisclaim,1
",",",",s,,0
I,i,s,FirstPer,0
Will,will,n,PredictedFuture,0
not,not,s,PredictedFuture,1
leave,leave,s,,0
thee,thee,s,DirectAddress,0
til,til,s,SenseObject,0
the,the,s,Sequence,0
next,next,s,Sequence,1
new,new,s,,0
Almanackes,almanackes,s,UNRECOGNIZED,0
be,be,s,ReportingStates,0
out,out,s,StandardsNeg,0
of,of,s,StandardsNeg,1
date,date,c,StandardsNeg,2
:,:,s,,0
let,let,s,ReportingEvents,0
him,him,s,ReportingEvents,1
threaten,threaten,s,Fear,0
the,the,n,,0
sharpest,sharpest,s,Comparison,0
weather,weather,s,AbstractConcepts,0
he,he,s,Contingency,0
can,can,c,Contingency,1
",",",",s,,0
in,in,s,,0
Saint,saint,s,StandardsPos,0
Swithin,swithin,s,UNRECOGNIZED,0
week,week,c,TimeDuration,0
",",",",s,,0
or,or,s,,0
it,it,s,,0
snow,snow,s,SpaceRelation,0
on,on,s,SpaceRelation,1
our,our,s,Inclusive,0
Ladies,ladies,s,PersonProperty,0
face,face,c,SenseObject,0
",",",",n,,0
i,i,s,FirstPer,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
budge,budge,c,Motions,0
",",",",s,,0
i,i,s,FirstPer,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
thy,thy,s,DirectAddress,0
midwife,midwife,s,PersonProperty,0
til,til,s,SenseObject,0
thou,thou,s,DirectAddress,0
be,be,s,ReportingStates,0
delivered,delivered,s,ReportingStates,0
of,of,s,ReportingStates,1
this,this,s,,0
passion,passion,nnn,SubjectivePercept,0
Partake,partake,s,ReportingEvents,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
and,and,s,,0
give,give,s,ReportingEvents,0
me,me,s,ReportingEvents,1
the,the,s,ReportingEvents,2
belief,belief,c,PrivateThinking,0
:,:,s,,0
think,think,s,PrivateThinking,0
thou,thou,s,DirectAddress,0
or,or,s,,0
know,know,s,Confidence,0
thou,thou,s,DirectAddress,0
any,any,s,Specifiers,0
of,of,s,Specifiers,1
this,this,n,,0
opinion,opinion,c,SubjectivePercept,0
",",",",s,,0
that,that,c,,0
",",",",s,,0
that,that,s,,0
moving,moving,s,,0
marish,marish,s,SenseProperty,0
element,element,c,AbstractConcepts,0
",",",",s,,0
that,that,s,,0
swells,swells,s,SenseProperty,0
and,and,s,,0
swages,swages,s,SenseObject,0
as,as,s,Specifiers,0
it,it,s,Specifiers,1
please,please,n,Positivity,0
the,the,s,SenseObject,0
moon,moon,c,SenseObject,1
",",",",s,,0
to,to,s,ProjectAhead,0
be,be,s,ProjectAhead,1
in,in,s,ProjectAhead,2
bigness,bigness,s,SenseProperty,0
equal,equal,s,Comparison,0
to,to,s,Comparison,1
that,that,s,,0
solid,solid,s,AbstractConcepts,0
lump,lump,s,SenseObject,0
that,that,s,,0
brings,brings,s,,0
us,us,s,Inclusive,0
up,up,nnn,,0
I,i,s,Autobio,0
was,was,s,Autobio,1
sure,sure,s,Confidence,0
thou,thou,s,DirectAddress,0
were,were,s,ProjectBack,0
beyond,beyond,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Antipodes,antipodes,c,AbstractConcepts,0
:,:,s,,0
faith,faith,s,StandardsPos,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
of,of,s,SelfDisclosure,2
that,that,s,,0
faith,faith,s,StandardsPos,0
I,i,s,Autobio,0
was,was,n,Autobio,1
brought,brought,s,Biographical_Time,0
up,up,s,Biographical_Time,1
in,in,c,Biographical_Time,2
",",",",s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
heard,heard,s,Updates,0
my,my,s,Autobio,0
Father,father,s,Autobio,1
say,say,c,Citations,0
",",",",s,,0
and,and,s,,0
i,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sure,sure,s,Confidence,0
his,his,s,PersonPronoun,0
Records,records,s,SenseObject,0
came,came,s,Transformation,0
from,from,n,Transformation,1
his,his,s,PersonPronoun,0
Father,father,c,PersonProperty,0
",",",",s,,0
that,that,s,,0
the,the,s,SenseObject,0
Land,land,s,SenseObject,1
and,and,s,,0
Sea,sea,s,SenseObject,0
are,are,s,ReportingStates,0
in,in,s,Specifiers,0
nature,nature,s,Specifiers,1
thus,thus,s,ReasonForward,0
much,much,s,Intensity,0
alike,alike,c,Inclusive,0
;,;,s,,0
the,the,s,,0
own,own,n,ReportingEvents,0
grows,grows,s,ReportingEvents,0
by,by,s,,0
the,the,s,SenseObject,0
Sun,sun,c,SenseObject,1
",",",",s,,0
the,the,s,Specifiers,0
other,other,s,Specifiers,1
by,by,s,,0
the,the,s,SenseObject,0
Moon,moon,c,SenseObject,1
",",",",s,,0
both,both,s,,0
by,by,s,,0
Gods,gods,s,CommonAuthorities,0
blessing,blessing,c,StandardsPos,0
;,;,s,,0
and,and,s,,0
the,the,s,,0
Sea,sea,n,SenseObject,0
rather,rather,s,Resistance,0
the,the,s,,0
greater,greater,c,Comparison,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,s,ReasonForward,2
think,think,s,PrivateThinking,0
I,i,nnn,FirstPer,0
Good,good,c,,0
:,:,s,,0
there,there,s,SpaceRelation,0
we,we,s,SpaceRelation,1
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
farther,farther,s,SpaceRelation,0
scope,scope,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
hold,hold,s,,0
the,the,s,,0
sea,sea,c,SenseObject,0
",",",",s,,0
can,can,s,Contingency,0
(,(,c,Aside,0
as,as,s,Aside,1
a,a,s,,0
looking,looking,n,SenseObject,0
glass,glass,c,SenseObject,1
),),s,,0
answer,answer,s,Specifiers,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
mere,mere,s,SubjectivePercept,0
smile,smile,s,Positivity,0
any,any,s,,0
moving,moving,s,,0
shape,shape,s,AbstractConcepts,0
upon,upon,s,,0
the,the,s,SpaceRelation,0
earth,earth,nnn,SpaceRelation,1
Nay,nay,c,OralCues,0
",",",",s,,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
most,most,s,Comparison,0
certain,certain,c,Confidence,0
",",",",s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
heard,heard,s,Updates,0
of,of,s,,0
Sea-horses,sea-horses,c,UNRECOGNIZED,0
",",",",s,,0
Sea-calues,sea-calues,c,UNRECOGNIZED,0
",",",",s,,0
and,and,n,,0
Sea,sea,s,SenseObject,0
Monsters,monsters,nnn,SenseObject,1
Oh,oh,c,OralCues,0
",",",",s,OralCues,1
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
monstrous,monstrous,s,Negativity,0
mad,mad,c,Negativity,0
",",",",s,,0
merry,merry,s,Positivity,0
wenches,wenches,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
monsters,monsters,s,Negativity,0
Graccus,graccus,c,UNRECOGNIZED,0
",",",",n,,0
they,they,s,,0
call,call,s,ReportingEvents,0
them,them,s,,0
Sea-maides,sea-maides,s,UNRECOGNIZED,0
or,or,s,,0
Mermaides,mermaides,s,UNRECOGNIZED,0
singing,singing,s,Motions,0
sweetelye,sweetelye,c,UNRECOGNIZED,0
",",",",s,Resistance,0
but,but,s,Resistance,1
none,none,s,DenyDisclaim,0
dares,dares,s,SubjectivePercept,0
trust,trust,n,Confidence,0
them,them,c,Confidence,1
",",",",s,,0
and,and,s,,0
are,are,s,Intensity,0
very,very,s,Intensity,1
like,like,s,SubjectivePercept,0
our,our,s,Inclusive,0
Land-wenches,land-wenches,c,UNRECOGNIZED,0
",",",",s,,0
devouring,devouring,s,Motions,0
Serpents,serpents,s,SenseObject,0
from,from,s,,0
the,the,s,,0
middle,middle,n,AbstractConcepts,0
downward,downward,nnn,SpaceRelation,0
Thou,thou,s,DirectAddress,0
have,have,s,,0
even,even,s,SubjectivePercept,0
given,given,s,ReportingStates,0
me,me,s,FirstPer,0
satisfaction,satisfaction,c,StandardsPos,0
:,:,s,,0
but,but,s,Resistance,0
have,have,s,,0
thou,thou,s,DirectAddress,0
this,this,s,,0
by,by,s,,0
proof,proof,c,Confidence,0
