away,away,c,,0
:,:,s,,0
and,and,s,,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
an,an,s,ReportingStates,2
end,end,s,TimeShift,0
of,of,s,TimeShift,1
her,her,c,PersonPronoun,0
.,.,s,,0
--,--,s,,0
Now,now,s,Immediacy,0
I,i,s,SelfDisclosure,0
am,am,n,SelfDisclosure,1
to,to,s,,0
inform,inform,s,ReportingEvents,0
you,you,c,DirectAddress,0
",",",",s,,0
that,that,s,,0
CUPID,cupid,c,Positivity,0
",",",",s,,0
and,and,s,,0
MERCVRY,mercvry,s,UNRECOGNIZED,0
do,do,s,Intensity,0
both,both,s,,0
become,become,s,Transformation,0
pages,pages,c,SenseObject,0
.,.,s,,0
CUPID,cupid,s,Positivity,0
attends,attends,s,SpaceRelation,0
on,on,n,,0
PHILAVTIA,philavtia,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
Self-love,self-love,c,StandardsPos,0
",",",",s,,0
a,a,s,,0
court-ladie,court-ladie,s,UNRECOGNIZED,0
MERCVRY,mercvry,s,UNRECOGNIZED,0
follows,follows,s,,0
HEDON,hedon,c,UNRECOGNIZED,0
",",",",s,,0
the,the,s,,0
voluptuous,voluptuous,c,SenseProperty,0
",",",",n,,0
and,and,s,,0
a,a,s,,0
courtier,courtier,c,PersonProperty,0
;,;,s,,0
one,one,s,Specifiers,0
that,that,s,Specifiers,1
ranks,ranks,s,,0
himself,himself,s,PersonPronoun,0
even,even,s,Comparison,0
with,with,s,Comparison,1
ANAIDES,anaides,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
the,the,s,,0
impudent,impudent,c,StandardsNeg,0
",",",",s,,0
a,a,n,StandardsPos,0
gallant,gallant,c,StandardsPos,1
",",",",s,,0
(,(,c,Aside,0
and,and,s,Aside,1
that,that,s,Specifiers,0
is,is,s,Specifiers,1
my,my,s,FirstPer,0
part,part,c,,0
:,:,c,OralCues,0
),),s,OralCues,1
one,one,s,Specifiers,0
that,that,s,Specifiers,1
keeps,keeps,s,TimeDuration,0
laughter,laughter,c,Positivity,0
",",",",s,,0
GELAIA,gelaia,s,UNRECOGNIZED,0
the,the,s,Biographical_Time,0
daughter,daughter,s,Biographical_Time,1
of,of,n,Biographical_Time,2
folly,folly,c,StandardsNeg,0
",",",",s,,0
(,(,c,,0
a,a,s,,0
wench,wench,s,PersonProperty,0
in,in,s,,0
boys,boys,s,PersonProperty,0
attire,attire,c,SenseObject,0
),),s,,0
to,to,s,,0
wait,wait,s,SpaceRelation,0
on,on,s,SpaceRelation,1
him,him,s,PersonPronoun,0
--,--,s,,0
These,these,c,Immediacy,0
",",",",s,Immediacy,1
in,in,s,SpaceRelation,0
the,the,s,SpaceRelation,1
court,court,c,SpaceRelation,2
",",",",s,,0
meet,meet,n,SpaceRelation,0
with,with,s,SpaceRelation,1
AMORPHVS,amorphvs,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
the,the,s,,0
deformed,deformed,c,ReportingStates,0
;,;,s,ReportingStates,1
a,a,s,,0
trauailer,trauailer,s,UNRECOGNIZED,0
that,that,s,,0
has,has,s,,0
drunk,drunk,s,PersonProperty,0
of,of,s,,0
the,the,s,,0
fountain,fountain,c,SenseObject,0
",",",",n,,0
and,and,s,,0
there,there,s,,0
tells,tells,s,Citations,0
the,the,s,,0
wonders,wonders,s,Curiosity,0
of,of,s,Curiosity,1
the,the,s,SenseObject,0
water,water,c,SenseObject,1
.,.,s,,0
They,they,s,,0
presently,presently,s,TimeShift,0
dispatch,dispatch,s,ReportingEvents,0
away,away,s,,0
their,their,n,PersonPronoun,0
pages,pages,s,SenseObject,0
with,with,s,,0
bottles,bottles,s,SenseObject,0
to,to,s,,0
fetch,fetch,s,SubjectivePercept,0
of,of,s,SubjectivePercept,1
it,it,c,,0
",",",",s,,0
and,and,s,,0
themselves,themselves,s,PersonPronoun,0
go,go,s,ReportingEvents,0
to,to,s,,0
visit,visit,s,SceneShift,0
the,the,s,SceneShift,1
ladies,ladies,c,PersonProperty,0
.,.,s,Resistance,0
But,but,n,Resistance,1
I,i,s,Insist,0
should,should,s,Insist,1
have,have,s,Insist,2
told,told,s,DirectAddress,0
you,you,s,DirectAddress,1
--,--,s,,0
(,(,c,,0
Look,look,c,DirectAddress,0
",",",",s,DirectAddress,1
these,these,s,Immediacy,0
emets,emets,s,UNRECOGNIZED,0
put,put,s,Negativity,0
me,me,s,Negativity,1
out,out,s,Negativity,2
here,here,c,SpaceRelation,0
),),s,,0
that,that,s,Specifiers,0
with,with,s,Specifiers,1
this,this,n,,0
AMORPHVS,amorphvs,c,UNRECOGNIZED,0
",",",",s,,0
there,there,s,,0
comes,comes,s,ReportingEvents,0
along,along,s,ReportingEvents,1
a,a,s,ReportingEvents,2
citizens,citizens,s,CommonAuthorities,0
heir,heir,c,PersonProperty,0
",",",",s,,0
ASOTVS,asotvs,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
the,the,s,,0
prodigal,prodigal,c,Negativity,0
",",",",s,,0
who,who,s,,0
(,(,c,,0
in,in,n,SubjectivePercept,0
imitation,imitation,s,SubjectivePercept,1
of,of,s,SubjectivePercept,2
the,the,s,,0
traveler,traveler,c,PersonProperty,0
",",",",s,,0
who,who,s,Question,0
