HA,ha,c,OralCues,0
you,you,c,DirectAddress,0
:,:,s,,0
Isabella,isabella,c,UNRECOGNIZED,0
.,.,s,,0
is,is,n,SubjectiveTime,0
Of,of,s,SubjectiveTime,1
age,age,s,SubjectiveTime,2
sufficient,sufficient,s,StandardsPos,0
to,to,s,StandardsPos,1
feel,feel,s,PrivateThinking,0
the,the,s,PrivateThinking,1
effect,effect,n,Consequence,0
Both,both,s,,0
of,of,s,,0
the,the,s,SenseObject,0
fire,fire,s,SenseObject,1
she,she,s,PersonPronoun,0
kindles,kindles,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
o'th'evill,o'th'evill,n,UNRECOGNIZED,0
Which,which,s,,0
she,she,s,Neutral_Attribution,0
procures,procures,c,Neutral_Attribution,1
;,;,s,,0
the,the,s,Sequence,0
end,end,c,Sequence,1
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
of,of,s,,0
her,her,s,Negativity,0
coldness,coldness,n,Negativity,1
Should,should,s,Insist,0
not,not,s,Insist,1
surprise,surprise,s,PrivateThinking,0
you,you,c,DirectAddress,0
:,:,s,Question,0
who,who,s,Question,1
gives,gives,s,,0
love,love,c,Positivity,0
",",",",s,,0
can,can,s,Confidence,0
easily,easily,n,Confidence,1
Take,take,s,Responsibility,0
it,it,s,Responsibility,1
again,again,c,RecurringEvents,0
;,;,s,Curiosity,0
and,and,s,Curiosity,1
when,when,s,Curiosity,2
a,a,s,,0
young,young,s,SenseProperty,0
heart,heart,s,SenseObject,0
never,never,n,DenyDisclaim,0
Has,has,s,,0
loved,loved,s,Positivity,0
any,any,s,Specifiers,0
thing,thing,c,Specifiers,1
",",",",s,,0
at,at,s,TimeShift,0
the,the,s,TimeShift,1
first,first,s,TimeShift,2
fire,fire,n,SenseObject,0
That,that,s,,0
sparkles,sparkles,c,Motions,0
",",",",s,,0
it,it,s,,0
is,is,s,ReportingStates,0
inflamed,inflamed,c,ReportingStates,0
;,;,s,ReportingStates,1
my,my,s,FirstPer,0
Mistress,mistress,s,PersonProperty,0
is,is,n,ReportingStates,0
At,at,s,ReportingStates,1
sensible,sensible,s,AbstractConcepts,0
as,as,s,,0
fair,fair,s,StandardsPos,0
you,you,s,Confidence,0
will,will,s,Confidence,1
be,be,s,Confidence,2
happy,happy,c,Positivity,0
",",",",n,,0
If,if,s,DirectAddress,0
you,you,s,DirectAddress,1
are,are,s,DirectAddress,2
faithful,faithful,c,StandardsPos,0
.,.,nn,Resistance,0
But,but,s,Resistance,1
come,come,s,ReportingEvents,0
thou,thou,s,DirectAddress,0
by,by,s,,0
her,her,s,Neutral_Attribution,0
order,order,c,Neutral_Attribution,1
?,?,nnn,Question,0
To,to,s,,0
speak,speak,s,ReportingEvents,0
truly,truly,c,Intensity,0
",",",",n,,0
She,she,s,PersonPronoun,0
willed,willed,s,SubjectivePercept,0
me,me,s,FirstPer,0
to,to,s,,0
speak,speak,s,ReportingEvents,0
as,as,s,Comparison,0
from,from,s,Comparison,1
my,my,s,FirstPer,0
self,self,c,SubjectivePercept,0
;,;,n,Resistance,0
But,but,c,Resistance,1
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
your,your,s,DirectAddress,0
goodness,goodness,s,StandardsPos,0
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
gage,gage,s,SenseObject,0
that,that,s,,0
